"CU","Issue","Titulo","Modulo","EstadoGitHub","EstadoReal","Estimacion","Criterios","Funcional","Pruebas","DBSeguridad","QA","Documentacion","PorcentajeMain","PorcentajePR117","RamaLocalPuertaA","ProyectadoQA_Azure","Evidencia","Brecha","Accion","Confianza"
"CU-213","#78","CU-213 Como gerente general quiero generar un reporte de cumplimiento global de KPIs para evaluar el rendimiento de toda la fuerza de ventas.","KPIs","#78 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-221","#79","CU-221 Como director financiero quiero registrar el presupuesto anual por departamento para establecer topes de gasto operativos.","Presupuestos y gastos","#79 OPEN","Disponible solo en rama; QA UI pendiente","no especificada","5","35","15","15","5","5","0","80","80","95","Flujo, migraciones 0007-0011 y evidencia DB en #112/#117","No integrado en main; smoke autenticado pendiente","Revisar #117 y mantener En QA","media"
"CU-222","#80","CU-222 Como encargado de compras quiero registrar los gastos operativos diarios para afectar las cuentas presupuestarias correspondientes.","Presupuestos y gastos","#80 OPEN","Disponible solo en rama; QA UI pendiente","no especificada","5","35","15","15","5","5","0","80","80","95","Flujo, migraciones 0007-0011 y evidencia DB en #112/#117","No integrado en main; smoke autenticado pendiente","Revisar #117 y mantener En QA","media"
"CU-223","#81","CU-223 Como analista financiero quiero visualizar una comparativa automática entre el gasto real y el presupuesto para identificar desviaciones.","Presupuestos y gastos","#81 OPEN","Disponible solo en rama; QA UI pendiente","no especificada","5","35","15","15","5","5","0","80","80","95","Flujo, migraciones 0007-0011 y evidencia DB en #112/#117","No integrado en main; smoke autenticado pendiente","Revisar #117 y mantener En QA","media"
"CU-231","#82","CU-231 Como usuario del sistema quiero enviar mensajes de texto directos a otros compañeros para resolver dudas operativas rápidamente.","Chat","#82 CLOSED","Reforzada y probada; QA pendiente","no especificada","5","35","20","15","0","5","80","80","80","95","Código, migración y pruebas focales en #112/#117","QA autenticado o de ambiente pendiente","Mantener En QA","media-alta"
"CU-232","#83","CU-232 Como administrador quiero crear grupos de chat por departamento (ej. Logística, Bodega) para emitir comunicados masivos.","Chat","#83 CLOSED","Reforzada y probada; QA pendiente","no especificada","5","35","20","15","0","5","80","80","80","95","Código, migración y pruebas focales en #112/#117","QA autenticado o de ambiente pendiente","Mantener En QA","media-alta"
"CU-233","#84","CU-233 Como empleado quiero buscar palabras clave en el historial de mis chats para recuperar información importante enviada previamente.","Chat","#84 CLOSED","Reforzada y probada; QA pendiente","no especificada","5","35","20","15","0","5","80","80","80","95","Código, migración y pruebas focales en #112/#117","QA autenticado o de ambiente pendiente","Mantener En QA","media-alta"
"CU-241","#85","CU- 241 Como encargado de compras quiero que el sistema me sugiera cantidades óptimas de abastecimiento basándose en el histórico de ventas para evitar sobrestock.","Inteligencia inventario","#85 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","0","5","0","85","85","95","Código, pruebas y migración en #117","No integrado en main; QA manual/Azure pendiente","Mantener En QA; no cerrar","alta-código/media-entorno"
"CU-242","#86","CU-242 Como gerente de inventario quiero recibir alertas predictivas sobre productos con alta probabilidad de estancamiento para aplicar estrategias de rotación.","Inteligencia inventario","#86 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","0","5","0","85","85","95","Código, pruebas y migración en #117","No integrado en main; QA manual/Azure pendiente","Mantener En QA; no cerrar","alta-código/media-entorno"
"CU-243","#87","CU-243 Como analista comercial quiero visualizar un gráfico de tendencias estacionales para planificar el inventario de fechas festivas (ej. Navidad).","Inteligencia inventario","#87 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","0","5","0","85","85","95","Código, pruebas y migración en #117","No integrado en main; QA manual/Azure pendiente","Mantener En QA; no cerrar","alta-código/media-entorno"
"CU-251","#88","CU-251 Como jefe de logística quiero que el sistema secuencie automáticamente los puntos de entrega diarios para minimizar el consumo de combustible.","Rutas inteligentes","#88 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-252","#89","CU-252 Como chofer repartidor quiero visualizar en mi aplicación móvil el mapa con la ruta sugerida para visitar a los clientes en el orden correcto.","Rutas inteligentes","#89 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-253","#90","CU-253 Como administrador quiero recalcular la ruta en tiempo real si ocurre un imprevisto (ej. choque, cliente cerrado) para no atrasar el resto de entregas.","Rutas inteligentes","#90 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-261","#91","CU-261 Como gerente general quiero interactuar con un asistente virtual mediante lenguaje natural para consultar métricas clave sin tener que generar reportes complejos.","Asistente","#91 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-262","#92","CU-262 Como vendedor en ruta quiero que el asistente me envíe sugerencias de venta cruzada (cross-selling) en tiempo real para aumentar el ticket promedio del cliente.","Asistente","#92 OPEN","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","5","5","0","85","90","95","Código, pruebas y migración en #117; harness LocalDB reproducible aprobado","QA autenticado y Azure DEV pendientes","Mantener En QA hasta validación de entorno","alta-código/media-entorno"
"CU-263","#93","CU-263 Como usuario operativo quiero solicitar ayuda al asistente sobre cómo usar un módulo específico para reducir la curva de aprendizaje del sistema.","Asistente","#93 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
